int_id,ra,dec,z,psfMag_g,fiberID,plate,mjd,bestobjid
226,10.6535842698811,-10.822789372619699,0.04199469,16.86559,58,655,52162,1237652946382749732
227,15.3042974940871,-9.461707067381179,0.35692690000000005,16.29563,548,658,52146,1237652947995394051
228,339.032007907619,13.732041882709801,0.3257094,16.27131,388,739,52520,1237656242236948506
229,152.228898368794,37.6583232683398,0.05348795,16.54636,551,1426,52993,1237661383311818774
230,322.95518461498403,72.36485750021829,0.0004606231,15.81843,241,2538,54271,1237663228538519645
231,189.58415886028598,17.8442092625998,0.4527477,16.62967,732,5854,56035,1237668624624975912
232,196.39371275862499,18.325794657943998,0.1182318,16.97038,443,2603,54479,1237668625701535848
233,152.685453306086,0.7253646223745192,0.1774282,16.109379999999998,537,270,51909,1237648722292506678
234,166.412465564107,2.04927582460845,0.1055859,16.58266,74,508,52366,1237651753467510819
235,169.013055867046,2.14784904362257,0.210923,16.94248,315,511,52636,1237651753468625012
236,210.076749229908,5.04507292244169,0.03417736,16.5108,528,856,52339,1237655126094119082
237,166.985572596805,47.7429948200486,0.07267616,16.82817,60,964,52646,1237658611980238874
238,124.40972853268299,24.391688220474,0.282236,16.847189999999998,908,11118,58522,1237661086956388518
239,142.415990596525,37.702417499437,0.44163040000000003,16.42717,984,8862,57461,1237661852529000477
240,239.657841738886,28.477520220289897,0.32298499999999997,16.5824,578,1391,52817,1237662307273212005
241,216.627827339016,39.0620509930237,0.08168268,16.97026,447,1381,53089,1237662307800580110
242,25.0711003044662,-0.8341749905931891,0.33440679999999995,16.14605,742,7845,56980,1237663783134625892
243,33.6398373208075,-0.7667199858445609,0.02609349,16.302529999999997,132,1073,52649,1237663783138361393
244,136.848154103987,17.2712059696585,0.09820116,16.86702,685,9550,57787,1237667485918625874
245,39.54194968027029,1.5719559095344198,0.39189850000000004,16.93913,24,9420,57715,1237678437553143914
246,101.28484512651501,-0.765784903759715,0.25891959999999997,16.71708,146,7258,56605,1237646791699663123
247,52.5552683776908,-5.54331580016994,0.01336469,16.965970000000002,361,461,51910,1237649964066930743
248,188.156189367335,66.4145168920665,0.0467449,16.94973,89,494,51915,1237651271364247574
249,321.581903215608,-6.90249065457456,0.41757209999999995,16.9166,513,640,52200,1237652600102191125
250,10.5928901502269,-10.6288355240593,0.42368420000000007,16.466089999999998,282,656,52148,1237652629103116341
251,241.283014510131,48.572815716442,0.2946006,16.659270000000003,604,8060,57894,1237655349966077998
252,223.10280914614398,45.3732349972709,0.46842829999999996,16.836170000000003,290,8489,57483,1237662499462774858
253,196.78652339831402,34.4060752023957,0.1863378,16.69324,618,2006,53476,1237665024909312062
254,198.594590262883,34.494024118298995,0.07446658,16.52378,315,2023,53851,1237665025446838328
255,32.9508946488584,21.2633905961492,0.4894076,16.72804,48,2046,53327,1237666273669873724
256,163.155202999763,24.1075952803977,0.3984866,16.1135,30,6417,56308,1237667551418253375
257,207.47017857257,2.07920597783295,0.03288136,16.610310000000002,165,530,52026,1237674601603072055
258,23.575799755444798,0.260196774951927,0.40109829999999996,16.81288,738,7847,57012,1237657071157444676
259,29.9593868572445,0.3946918424079579,0.16280799999999998,15.87031,1,9390,58103,1237657071160262668
260,169.740424431299,58.0565505505103,0.02783847,16.906229999999997,129,951,52398,1237658302207426574
261,176.49813335828898,46.219213243594,0.1540704,16.99962,518,7404,56776,1237660634390986757
262,153.543585153647,42.3965173074416,0.09349871,16.7216,149,1218,52709,1237660634920452148
263,211.161667688209,43.452075672220296,0.3228939,15.65463,216,1467,53115,1237661433242779716
264,214.675940024239,42.5620532383846,0.42073059999999995,16.4582,834,8504,57518,1237661433243959449
265,221.691427461105,40.5849405597265,0.2679094,15.855120000000001,190,1397,53119,1237661433783320584
266,212.722634162607,9.174150445208529,0.17812999999999998,16.758960000000002,602,1809,53792,1237662238015291407
267,218.266685546887,8.78801609916346,0.3677692,16.74023,586,2908,54611,1237662238017650787
268,223.64311790462398,8.060194597985081,0.129768,16.70955,573,1814,54555,1237662238020010072
269,205.986433538424,25.6465857321374,0.0863796,16.42306,66,2246,53767,1237665548886081562
270,224.678087351376,21.6027635641452,0.06334238,16.861629999999998,56,2148,54526,1237665548893749307
271,172.788526045939,26.535514372490898,0.24329720000000002,16.96711,229,2219,53816,1237667429570052151
272,195.745162043214,16.407706336421498,0.06738997,16.30954,259,2603,54479,1237668589190709289
273,180.309816862222,-3.6780965188156003,0.01948028,15.90819,121,331,52368,1237650760243216505
274,199.264224559833,-2.26131792119044,0.01930216,16.795560000000002,38,4053,55591,1237650761862086708
275,118.855378735931,39.1860797437647,0.03316471,16.123279999999998,344,544,52201,1237654391639638190
276,115.359933057227,35.7840614320652,0.1335356,16.80782,772,9362,57801,1237654392174608477
277,172.173397385876,63.597526564343994,0.12504669999999998,16.90683,217,597,52059,1237654398616797207
278,169.812952552985,48.3992145041227,0.43750100000000003,16.95897,958,7394,57131,1237658203970273341
279,192.991272008899,6.2282344668668905,0.37494299999999997,16.741239999999998,260,1792,54270,1237661970115264597
280,176.144703618758,7.08791437283131,0.07481194,16.95477,189,1621,53383,1237661971181731895
